@relation weka.datagenerators.clusterers.BIRCHCluster-S_1_-a_2_-c_-k_2_-N_1..50_-R_0.55..1.41_-O

@attribute X0 numeric
@attribute X1 numeric
@attribute class {c0,c1}

@data
-0.298352,-0.393046,c0
-0.785925,0.703256,c0
0.154747,0.849074,c0
0.699614,0.055355,c0
0.201511,0.032735,c0
0.805645,1.27639,c0
0.294388,0.671092,c0
0.687658,0.266018,c0
-0.325534,2.472244,c0
0.642319,-0.202943,c0
0.705867,-0.076866,c0
-0.417488,0.769947,c0
0.097698,-0.185226,c0
0.171989,-0.289968,c0
1.07442,1.77237,c0
-0.113681,0.877652,c0
-1.004233,0.25035,c0
-0.819706,0.243892,c0
0.415904,0.722609,c0
0.566017,1.138409,c0
2.070402,-1.181586,c0
-0.004291,-0.465597,c0
0.106242,0.317033,c0
1.583075,1.9885,c0
0.678605,1.532109,c0
0.830898,0.048798,c0
-0.04675,1.189515,c0
0.683924,0.962842,c0
-0.250862,0.937367,c0
0.256485,0.872459,c0
1.026422,1.324609,c0
0.419436,0.871015,c0
-0.083436,0.968382,c0
0.484478,0.585229,c0
1.929722,0.430587,c0
-0.106418,0.81817,c0
1.774283,1.909403,c1
2.301063,1.422882,c1
2.053108,2.302387,c1
1.262884,2.328118,c1
1.780018,2.146602,c1
2.540284,1.687105,c1
1.624608,1.322104,c1
2.057789,2.099131,c1
1.696536,1.858328,c1
1.668283,1.930788,c1
2.23564,2.621877,c1
2.063006,1.795328,c1
1.530276,2.206358,c1
1.29111,2.300594,c1
1.616555,1.049379,c1
1.869977,1.367131,c1
2.307619,2.345102,c1
1.972361,1.958988,c1
2.359565,2.572058,c1
1.78683,1.978839,c1
1.785989,2.157869,c1
2.002891,2.127991,c1
1.637041,2.123511,c1
1.71658,2.377564,c1
2.057068,1.642219,c1
1.441454,2.322502,c1
1.375501,1.133596,c1
2.453185,1.589205,c1
2.366066,1.584808,c1
2.624429,0.711121,c1
1.717707,2.602814,c1
2.213159,2.242273,c1
1.64779,2.251003,c1
1.317986,1.751679,c1
1.732066,1.739461,c1
2.663614,2.220421,c1
2.067967,1.252612,c1
2.080711,1.961346,c1
2.230963,1.597293,c1
1.426522,1.794464,c1
2.384263,2.020954,c1
2.313561,1.329302,c1
1.630537,1.535521,c1
1.354802,1.505654,c1
2.072966,2.004888,c1
1.655261,1.305566,c1
1.875109,1.89872,c1
1.654022,1.949832,c1
